Entity,Code,Year,Above $10 a day,$8.30-$10 a day,$4.20-$8.30 a day,$3-$4.20 a day,Below $3 a day
Taiwan,TWN,1981,81.0064813154001,8.993874758166703,9.505067725525183,0.2567944882030387,0.2377817127049822
Taiwan,TWN,1986,93.75403305697759,3.750538213160127,2.249712978739254,0.24571575112302252,0
Taiwan,TWN,1991,99.50439845396664,0.24730817582578798,0.2482933702075658,0,0
Taiwan,TWN,1995,98.25118402260979,0.5011327478920916,0.7488743082617212,0,0.4988089212363887
Taiwan,TWN,1997,99.50245720493078,0.2555491276172501,0.2419936674519698,0,0
Taiwan,TWN,2000,99.75107484360827,0,0.24892515639172944,0,0
Taiwan,TWN,2005,99.51666537573232,0.23393930965525012,0.24939531461243802,0,0
Taiwan,TWN,2007,99.5013731614186,0.24895755355801108,0.24966928502338845,0,0
Taiwan,TWN,2010,98.50273441788059,0.7498493844426446,0.50640969678949,0,0.2410065008872704
Taiwan,TWN,2013,98.7568395968988,0.4951634263773821,0.49878316732216105,0,0.24921380940166238
Taiwan,TWN,2016,99.50149227751385,0.24895822175955942,0,0.24954950072659252,0
Taiwan,TWN,2017,99.25432873919381,0.24795276249157733,0.4977184983146141,0,0
Taiwan,TWN,2018,99.25353798806275,0.249526242038249,0.4969357698990009,0,0
Taiwan,TWN,2019,99.25072374960112,0.2511505219441015,0.24924301743136967,0.24888271102340923,0
Taiwan,TWN,2020,99.50618271235403,0,0.24389598565525253,0.2499213019907204,0
Taiwan,TWN,2021,99.50082827007446,0.2517934214221449,0.2473783085033968,0,0
